0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:27:43 +0900] "GET /SemiProject/review/movie_save/null HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:27:43 +0900] "GET /SemiProject/index.jsp?main=movie/movie_list.jsp HTTP/1.1" 200 8206
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:28:15 +0900] "GET /SemiProject/review/review_moviedetail.jsp?8 HTTP/1.1" 500 2435
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:28:16 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:28:17 +0900] "GET /SemiProject/review/review_moviedetail.jsp?12 HTTP/1.1" 200 915
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:28:17 +0900] "GET /SemiProject/review/css/index.css HTTP/1.1" 404 851
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:28:17 +0900] "GET /SemiProject/review/movie_save/null HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:28:18 +0900] "GET /SemiProject/review/review_moviedetail.jsp?12 HTTP/1.1" 200 915
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:28:18 +0900] "GET /SemiProject/review/css/index.css HTTP/1.1" 404 851
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:28:18 +0900] "GET /SemiProject/review/movie_save/null HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:28:18 +0900] "GET /SemiProject/review/review_moviedetail.jsp?12 HTTP/1.1" 200 915
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:28:18 +0900] "GET /SemiProject/review/movie_save/null HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:28:18 +0900] "GET /SemiProject/review/css/index.css HTTP/1.1" 404 851
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:28:18 +0900] "GET /SemiProject/review/review_moviedetail.jsp?12 HTTP/1.1" 200 915
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:28:18 +0900] "GET /SemiProject/review/css/index.css HTTP/1.1" 404 851
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:28:18 +0900] "GET /SemiProject/review/movie_save/null HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:28:18 +0900] "GET /SemiProject/review/review_moviedetail.jsp?12 HTTP/1.1" 200 915
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:28:18 +0900] "GET /SemiProject/review/css/index.css HTTP/1.1" 404 851
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:28:18 +0900] "GET /SemiProject/review/movie_save/null HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:28:19 +0900] "GET /SemiProject/review/review_moviedetail.jsp?12 HTTP/1.1" 200 915
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:28:19 +0900] "GET /SemiProject/review/css/index.css HTTP/1.1" 404 851
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:28:19 +0900] "GET /SemiProject/review/movie_save/null HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:28:19 +0900] "GET /SemiProject/review/review_moviedetail.jsp?12 HTTP/1.1" 200 915
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:28:19 +0900] "GET /SemiProject/review/css/index.css HTTP/1.1" 404 851
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:28:19 +0900] "GET /SemiProject/review/movie_save/null HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:28:20 +0900] "GET /SemiProject/review/review_moviedetail.jsp?23 HTTP/1.1" 500 2435
